OBJECTID,PFA18CD,geographic_area_name,BNG_E,BNG_N,long,lat,shape__area,shape__length,GlobalID
1,E23000001,Metropolitan Police,517516,178392,-0.30864,51.492271,1570602960,413627.6151,a60ab221-30f8-4b9e-8033-35ead3d912f0
2,E23000002,Cumbria,341868,527389,-2.90218,54.63826,6822181095,953022.0738,0d8f72c1-03fb-4602-838a-64237fdf41cf
3,E23000003,Lancashire,363669,441026,-2.55392,53.864182,3076365012,757883.8593,51ea0ebf-8211-4e3e-a553-2709f91be6d4
4,E23000004,Merseyside,344324,390164,-2.83893,53.40535,646771707.4,273317.6064,799d5ca4-2a7e-48ca-9fae-6dd70edc3ae4
5,E23000005,Greater Manchester,377940,401102,-2.33407,53.506149,1275932420,242578.836,a945172b-453e-4821-a0df-a10375be1640
6,E23000006,Cheshire,368759,368676,-2.46927,53.21423,2342754364,447859.0083,3f56c293-faab-4e29-abdd-f87d48753a6f
7,E23000007,Northumbria,398898,602530,-2.01892,55.316841,5566388236,729817.8607,f9915482-efed-4cb4-a9f9-4b172617e52e
8,E23000008,Durham,410381,532242,-1.8405,54.685131,2429059678,333104.9036,6380109a-9dd8-417c-ac77-a291020879cd
9,E23000009,North Yorkshire,429509,466515,-1.55032,54.093712,8312432343,801840.824,0f8e5d69-68bb-49cb-b040-2af4c32f936d
10,E23000010,West Yorkshire,418686,427238,-1.71817,53.741199,2029277826,278438.1934,60c43939-7277-478e-86fb-2cc0255cdc2a
11,E23000011,South Yorkshire,441052,398663,-1.38284,53.483109,1551508801,281616.6069,dfdc972a-9907-4e20-a3d3-012750a06d45
12,E23000012,Humberside,488051,443608,-0.66203,53.881222,3516258875,776144.2115,ab19080f-7406-4ab9-9261-7d2f27cfd51d
13,E23000013,Cleveland,445425,522495,-1.29848,54.595612,597350630.2,248559.6926,e6113c6f-5526-422e-a8fa-b42728327f44
14,E23000014,West Midlands,402507,289715,-1.96448,52.505341,901652435.7,251091.9933,c6cd6126-af2c-4b3b-a709-d14b182fbf0c
15,E23000015,Staffordshire,398243,334651,-2.02756,52.909302,2716658521,426606.4458,715a3845-4951-4a42-92cb-d6a63c333a6a
16,E23000016,West Mercia,366411,287999,-2.49609,52.488869,7407887356,786847.9095,1a3131f9-4531-4ca7-8b24-08f7eb4d315f
17,E23000017,Warwickshire,429584,253588,-1.56874,52.179771,1977563781,387149.796,5011765a-c9f9-489e-8871-551927e1270d
18,E23000018,Derbyshire,426752,353556,-1.6021,53.078579,2628825125,405899.7896,d28adb2f-51b6-4a76-88b3-345eaf0781bb
19,E23000019,Nottinghamshire,466570,359496,-1.00656,53.128502,2159401435,319615.1922,10456755-8e30-4084-bc74-f0a3d2eb94f9
20,E23000020,Lincolnshire,517985,358543,-0.23882,53.11105,5936967881,706895.9786,6faa1e64-ee7e-4ca9-9d80-d02c6c2d8d49
21,E23000021,Leicestershire,466555,310191,-1.01686,52.685349,2550889823,331615.282,4e6beaef-4111-43ea-a8ca-f286101a6c8d
22,E23000022,Northamptonshire,477359,268708,-0.86668,52.31105,2367042389,367461.5842,a4087451-7b70-4b77-9102-bad0a6019a7e
23,E23000023,Cambridgeshire,536856,271834,0.006854,52.327549,3396195677,523043.387,9d151b42-cdb6-4dcc-a4b8-7f41ab799dc9
24,E23000024,Norfolk,600546,312278,0.964662,52.671108,5382279844,932430.391,fe7474d3-f185-49e7-aa5d-cf18f1423ab0
25,E23000025,Suffolk,608216,266122,1.049148,52.253868,3802461318,731626.7383,c33c50bb-18dc-4103-b55b-916aacdfb577
26,E23000026,Bedfordshire,508276,242055,-0.42184,52.066299,1235266808,242752.3798,19452f8e-9d99-4a25-80fd-05c9c4fa58fa
27,E23000027,Hertfordshire,518883,213642,-0.27699,51.808788,1643002807,298690.5057,ccdc9ac4-efb1-485b-81c7-07aeed3527c5
28,E23000028,Essex,569523,210837,0.455548,51.770538,3676958582,1097397.193,beaca39e-e26c-422c-a6c6-eed47cbd09d2
29,E23000029,Thames Valley,462576,202253,-1.09561,51.715519,5743349764,567901.6082,c1c6099e-1680-4f5a-a43f-180df47796c6
30,E23000030,Hampshire,445931,135667,-1.34513,51.11845,4149501446,893988.5391,13167f39-cf4a-45b9-b3e3-b1e0d20d20a1
31,E23000031,Surrey,515966,153408,-0.33911,51.268028,1670088340,267228.3545,5978cf9e-07d2-4aab-8542-34ff060a3a29
32,E23000032,Kent,590108,148050,0.719768,51.20002,3739603796,730922.6798,bea75279-0909-484f-986a-e864defe87b9
33,E23000033,Sussex,556566,117293,0.22679,50.93383,3786497373,663879.8188,e983c878-f759-44d5-96f8-ee24b1fda295
34,E23000034,"London, City of",532382,181358,-0.09351,51.51564,2893680.258,8928.159844,0e8f02f1-b187-4637-954b-5e966a97013f
35,E23000035,Devon & Cornwall,249986,81319,-4.12167,50.612228,10275932833,2050851.446,15cf7478-3a4d-4d5a-9d01-b73e91a7829d
36,E23000036,Avon and Somerset,356387,150272,-2.62627,51.249931,4784649281,648022.871,e69a2ae2-5107-4349-81bf-be36c0da9b35
37,E23000037,Gloucestershire,389595,213465,-2.15235,51.81971,2653088065,519045.5726,25dd9582-1003-4050-986b-1152b5726b93
38,E23000038,Wiltshire,405209,158863,-1.92661,51.328831,3485425666,378660.9236,206aea2c-604c-42d4-9c16-8e13dad50bff
39,E23000039,Dorset,375742,99796,-2.34556,50.797199,2652871143,580989.5784,e69cfc16-154c-4108-8776-c5f04c5a487e
40,W15000001,North Wales,282470,346124,-3.75275,52.999512,6172651692,1153253.357,3fa1ee30-1c3e-44ea-8058-67358e5b1913
41,W15000002,Gwent,331785,205411,-2.9894,51.743229,1553084464,306346.1429,761b365e-405e-4258-a28e-1175f678bd64
42,W15000003,South Wales,291642,190822,-3.5661,51.605782,2082230395,514033.0981,721eec7f-959b-4ad8-861c-8be0dfaca2bb
43,W15000004,Dyfed-Powys,290528,263540,-3.60533,52.259109,10974049840,1494937.044,ae6dd35c-509f-4157-ae73-c6490567dd8a
